mutation_rate,iterations_number,population_size, number_of_cities,average_solution_distance
0.2,200,200,100,0.0
0.2,200,200,200,0.0
0.30000000000000004,10,10,10,26.6
0.30000000000000004,10,10,100,0.0
0.30000000000000004,10,10,200,0.0
0.30000000000000004,10,100,10,37.2430688868197
0.30000000000000004,10,100,100,0.0
0.30000000000000004,10,100,200,0.0
0.30000000000000004,10,200,10,37.590859385016444
0.30000000000000004,10,200,100,0.0
0.30000000000000004,10,200,200,0.0
0.30000000000000004,100,10,10,31.6
0.30000000000000004,100,10,100,0.0
0.30000000000000004,100,10,200,0.0
0.30000000000000004,100,100,10,33.891721663708
0.30000000000000004,100,100,100,0.0
0.30000000000000004,100,100,200,0.0
0.30000000000000004,100,200,10,34.50746438420557
0.30000000000000004,100,200,100,0.0
0.30000000000000004,100,200,200,0.0
0.30000000000000004,200,10,10,31.2
0.30000000000000004,200,10,100,0.0
0.30000000000000004,200,10,200,0.0
0.30000000000000004,200,100,10,35.63501376735819
0.30000000000000004,200,100,100,0.0
0.30000000000000004,200,100,200,0.0
0.30000000000000004,200,200,10,39.00645535480849
0.30000000000000004,200,200,100,0.0
0.30000000000000004,200,200,200,0.0
0.4,10,10,10,28.4
0.4,10,10,100,0.0
0.4,10,10,200,0.0
0.4,10,100,10,37.02908605290685
0.4,10,100,100,0.0
0.4,10,100,200,0.0
0.4,10,200,10,37.84821220727408
0.4,10,200,100,0.0
0.4,10,200,200,0.0
0.4,100,10,10,31.4
0.4,100,10,100,0.0
0.4,100,10,200,0.0
0.4,100,100,10,35.8
0.4,100,100,100,0.0
0.4,100,100,200,0.0
0.4,100,200,10,40.453355089880255
0.4,100,200,100,0.0
0.4,100,200,200,0.0
0.4,200,10,10,32.0
0.4,200,10,100,0.0
0.4,200,10,200,0.0
0.4,200,100,10,36.56689700630347
0.4,200,100,100,0.0
0.4,200,100,200,0.0
0.4,200,200,10,38.85773684640587
0.4,200,200,100,0.0
0.4,200,200,200,0.0
0.5,10,10,10,26.56192647468186
0.5,10,10,100,0.0
0.5,10,10,200,0.0
0.5,10,100,10,35.81530183036779
0.5,10,100,100,0.0
0.5,10,100,200,0.0
0.5,10,200,10,37.25325075992326
0.5,10,200,100,0.0
0.5,10,200,200,0.0
0.5,100,10,10,37.0
0.5,100,10,100,0.0
0.5,100,10,200,0.0
0.5,100,100,10,37.64304510436941
0.5,100,100,100,0.0
0.5,100,100,200,0.0
0.5,100,200,10,41.330137521058596
0.5,100,200,100,0.0
0.5,100,200,200,0.0
0.5,200,10,10,31.8
0.5,200,10,100,0.0
0.5,200,10,200,0.0
0.5,200,100,10,34.128904014409045
0.5,200,100,100,0.0
0.5,200,100,200,0.0
0.5,200,200,10,39.371526348055184
0.5,200,200,100,0.0
0.5,200,200,200,0.0
0.6000000000000001,10,10,10,27.4
0.6000000000000001,10,10,100,0.0
0.6000000000000001,10,10,200,0.0
0.6000000000000001,10,100,10,35.5189791353289
0.6000000000000001,10,100,100,0.0
0.6000000000000001,10,100,200,0.0
0.6000000000000001,10,200,10,38.35224222720154
0.6000000000000001,10,200,100,0.0
0.6000000000000001,10,200,200,0.0
0.6000000000000001,100,10,10,29.2
0.6000000000000001,100,10,100,0.0
0.6000000000000001,100,10,200,0.0
0.6000000000000001,100,100,10,36.55979787561711
0.6000000000000001,100,100,100,0.0
0.6000000000000001,100,100,200,0.0
0.6000000000000001,100,200,10,36.92628412507723
0.6000000000000001,100,200,100,0.0
0.6000000000000001,100,200,200,0.0
0.6000000000000001,200,10,10,35.6
0.6000000000000001,200,10,100,0.0
0.6000000000000001,200,10,200,0.0
0.6000000000000001,200,100,10,35.937254333679476
0.6000000000000001,200,100,100,0.0
0.6000000000000001,200,100,200,0.0
0.6000000000000001,200,200,10,39.5438661443453
0.6000000000000001,200,200,100,0.0
0.6000000000000001,200,200,200,0.0
0.7000000000000001,10,10,10,28.6
0.7000000000000001,10,10,100,0.0
0.7000000000000001,10,10,200,0.0
0.7000000000000001,10,100,10,34.261725119617765
0.7000000000000001,10,100,100,0.0
0.7000000000000001,10,100,200,0.0
0.7000000000000001,10,200,10,36.92647720793778
0.7000000000000001,10,200,100,0.0
0.7000000000000001,10,200,200,0.0
0.7000000000000001,100,10,10,32.0
0.7000000000000001,100,10,100,0.0
0.7000000000000001,100,10,200,0.0
0.7000000000000001,100,100,10,35.085412633007124
0.7000000000000001,100,100,100,0.0
0.7000000000000001,100,100,200,0.0
0.7000000000000001,100,200,10,36.510463906722556
0.7000000000000001,100,200,100,0.0
0.7000000000000001,100,200,200,0.0
0.7000000000000001,200,10,10,32.4
0.7000000000000001,200,10,100,0.0
0.7000000000000001,200,10,200,0.0
0.7000000000000001,200,100,10,34.77101408282072
0.7000000000000001,200,100,100,0.0
0.7000000000000001,200,100,200,0.0
0.7000000000000001,200,200,10,41.19528986183659
0.7000000000000001,200,200,100,0.0
0.7000000000000001,200,200,200,0.0
0.8,10,10,10,29.2
0.8,10,10,100,0.0
0.8,10,10,200,0.0
0.8,10,100,10,34.04346896569983
0.8,10,100,100,0.0
0.8,10,100,200,0.0
0.8,10,200,10,37.308487279071905
0.8,10,200,100,0.0
0.8,10,200,200,0.0
0.8,100,10,10,28.8
0.8,100,10,100,0.0
0.8,100,10,200,0.0
0.8,100,100,10,34.35107040134484
0.8,100,100,100,0.0
0.8,100,100,200,0.0
0.8,100,200,10,38.843020314368765
0.8,100,200,100,0.0
0.8,100,200,200,0.0
0.8,200,10,10,32.0
0.8,200,10,100,0.0
0.8,200,10,200,0.0
0.8,200,100,10,36.733820014795015
0.8,200,100,100,0.0
0.8,200,100,200,0.0
0.8,200,200,10,39.478713549588186
0.8,200,200,100,0.0
0.8,200,200,200,0.0
0.9,10,10,10,31.2
0.9,10,10,100,0.0
0.9,10,10,200,0.0
0.9,10,100,10,38.25706368647788
0.9,10,100,100,0.0
0.9,10,100,200,0.0
0.9,10,200,10,34.743155099438525
0.9,10,200,100,0.0
0.9,10,200,200,0.0
0.9,100,10,10,33.6
0.9,100,10,100,0.0
0.9,100,10,200,0.0
0.9,100,100,10,36.7019578521308
0.9,100,100,100,0.0
0.9,100,100,200,0.0
0.9,100,200,10,38.358912719863156
0.9,100,200,100,0.0
0.9,100,200,200,0.0
0.9,200,10,10,34.0
0.9,200,10,100,0.0
0.9,200,10,200,0.0
0.9,200,100,10,34.76436488677706
0.9,200,100,100,0.0
0.9,200,100,200,0.0
0.9,200,200,10,37.7744611310871
0.9,200,200,100,0.0
0.9,200,200,200,0.0
